word,type,definition
bell,noun,"a hollow metal object, often like a cup in shape, that makes a ringing sound when hit by a small piece of metal inside it; the sound that it makes"
belong,verb,to be in the right or suitable place
beloved,adjective,loved very much
below,adverb,"at or to a lower level, position or place"
below,preposition,at or to a lower level or position than somebody/something
belt,noun,"a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body"
bench,noun,"a long seat for two or more people, usually made of wood"
benchmark,noun,something that can be measured and used as a standard that other things can be compared with
bend,noun,"a curve or turn, especially in a road or river"
bend,verb,"to lean, or make something lean, in a particular direction"
beneath,preposition,in or to a lower position than somebody/something; under somebody/something
beneficial,adjective,improving a situation; having a helpful or useful effect
beneficiary,noun,a person who gains as a result of something
benefit,noun,an advantage that something gives you; a helpful and useful effect that something has
benefit,verb,to be useful to somebody or improve their life in some way
bent,adjective,not straight
beside,preposition,next to or at the side of somebody/something
besides,adverb,used for making an extra comment that adds to what you have just said
besides,preposition,in addition to somebody/something; apart from somebody/something
best,adjective,of the most excellent type or quality
